Quantidade Iterações: 3229
Tempo de execução do método: 1.894995605 segundos

vetor x:

x1: 0.6247575879	
x2: 0.9172711968	
x3: -0.3942215145	
x4: -0.6272701621	
x5: 0.001169979922	
x6: -0.95416677	
x7: 1.056743383	
x8: 0.7068476677	
x9: 0.8905472159	
x10: 1.186416149	
x11: -0.1842632145	
x12: -0.65512079	
x13: 0.4463415444	
x14: 1.071577072	
x15: 0.7770970464	
x16: 0.8635520339	
x17: 1.423492193	
x18: 0.212190479	
x19: 1.120526552	
x20: -0.09576839209	
x21: 0.7052839398	
x22: -1.488044262	
x23: 1.457438231	
x24: -1.859747648	
x25: 0.12067011	
x26: -0.4313190579	
x27: -1.2441957	
x28: 0.250525862	
x29: 0.2468681782	
x30: 1.325771093	
x31: 0.05137053132	
x32: 0.4920894206	
x33: 0.157509625	
x34: 1.38205862	
x35: 1.044912219	
x36: -0.07501393557	
x37: 0.0386447534	
x38: 1.693723202	
x39: -0.325196743	
x40: 0.7722534537	
x41: -0.9641065598	
x42: -0.8477090001	
x43: 0.7770097852	
x44: 0.5625235438	
x45: 0.9723029733	
x46: -0.7189875841	
x47: 0.9321870208	
x48: 0.08611767739	
x49: -0.1332870722	
x50: 1.603328109	
x51: 1.351223111	
x52: -2.336903572	
x53: 0.2706599236	
x54: -0.9360743165	
x55: -0.3853869736	
x56: -0.720087409	
x57: 1.538635969	
x58: 1.15522635	
x59: 0.4694345295	
x60: 0.6175695658	
x61: 0.37231341	
x62: 0.5981322527	
x63: 0.1654361039	
x64: -0.2643589675	
x65: 0.4218692482	
x66: -0.3957571387	
x67: -0.4802296162	
x68: -0.3555992246	
x69: -0.1739920527	
x70: -0.0778336972	
x71: 2.445931673	
x72: -1.309108019	
x73: -1.157616615	
x74: 0.160191685	
x75: -0.136479333	
x76: -0.8160193563	
x77: 0.2411174923	
x78: 0.6671204567	
x79: -1.239592791	
x80: -0.4937390685	
x81: -1.373779297	
x82: -0.002296141814	
x83: 0.07792454958	
x84: 0.596699059	
x85: -1.172244191	
x86: 0.211614877	
x87: -0.2291867286	
x88: 1.306074262	
x89: 0.2208668739	
x90: -0.6230658293	
x91: -0.3148150742	
x92: -0.6221044064	
x93: 1.353136063	
x94: -0.5969858766	
x95: -1.692722678	
x96: -0.2871312797	
x97: 1.057614207	
x98: 0.5774008632	
x99: 0.07819314301	
x100: 1.699513197	
x101: -0.6736050844	
x102: 0.1731413901	
x103: -0.9577296376	
x104: -0.873813808	
x105: -0.4302380085	
x106: 0.5617178679	
x107: 1.968226671	
x108: 0.7130407691	
x109: -1.156979322	
x110: -0.2910582423	
x111: -0.6403466463	
x112: -0.3788474798	
x113: 1.094326735	
x114: 0.2914889753	
x115: 0.9056674838	
x116: 0.5175440907	
x117: -0.8787948489	
x118: 0.8449083567	
x119: -1.436298728	
x120: 0.7138786912	
x121: 0.5137262344	
x122: 1.014517426	
x123: -1.505653501	
x124: -0.28954795	
x125: -0.06799907237	
x126: 0.01443901192	
x127: 0.7904438972	
x128: 0.6147812605	
x129: 0.5661026239	
x130: 0.09261716157	
x131: 1.59009707	
x132: -0.411010921	
x133: 0.01523421891	
x134: -0.6626058817	
x135: -0.1474417597	
x136: 0.6396741271	
x137: -1.313255429	
x138: 0.1050170511	
x139: -0.8207318187	
x140: 0.702471137	
x141: -2.05129528	
x142: -2.041436672	
x143: 1.538381934	
x144: -0.2353307307	
x145: -2.054177761	
x146: -1.772045612	
x147: -0.1728280485	
x148: 0.2214817703	
x149: 0.2516435981	
x150: 0.9810923338	
x151: 0.2470448911	
x152: -0.1593770683	
x153: 0.9618669748	
x154: 1.972977281	
